price,ipath,areaname,rating,citydistance,title,canonical,photo,resultsType,latitude,longitude,color
46,33407,"La Paz, Bolivia",74,,Las Brisas,http://www.trivago.com/bolivia-33407/hotel,//imgec.trivago.com/itemimages/17/22/1722465_v1_isq.jpeg,Country - Central and South America (794 Hotels),-16.49901,-68.14625,yellow
46,33771,"Rivera, Uruguay",77,,Artigas,http://www.trivago.com/uruguay-33771/hotel,//imgec.trivago.com/itemimages/20/43/2043899_v2_isq.jpeg,Country - Central and South America (1664 Hotels),-31.571802,-55.47071,yellow
46,33771,"Montevideo, Uruguay",71,,Los Angeles,http://www.trivago.com/uruguay-33771/hotel,//imgec.trivago.com/itemimages/13/01/130104_v2_isq.jpeg,Country - Central and South America (1664 Hotels),-34.906258,-56.195343,yellow
46,33771,"Rivera, Uruguay",77,,Artigas,http://www.trivago.com/uruguay-33771/hotel,//imgec.trivago.com/itemimages/20/43/2043899_v2_isq.jpeg,Country - Central and South America (1664 Hotels),-31.571802,-55.47071,yellow
46,33771,"Montevideo, Uruguay",71,,Los Angeles,http://www.trivago.com/uruguay-33771/hotel,//imgec.trivago.com/itemimages/13/01/130104_v2_isq.jpeg,Country - Central and South America (1664 Hotels),-34.906258,-56.195343,yellow
46,34230,"Birmingham,",63,3.7,Motel 6 Birmingham,http://www.trivago.com/birmingham-34230/hotel,//imgec.trivago.com/itemimages/14/30/1430931_v2_isq.jpeg,"City - Alabama, USA (90 Hotels)",33.46687,-86.82757,yellow
46,34230,"Birmingham,",63,3.7,Motel 6 Birmingham,http://www.trivago.com/birmingham-34230/hotel,//imgec.trivago.com/itemimages/14/30/1430931_v2_isq.jpeg,"City - Alabama, USA (90 Hotels)",33.46687,-86.82757,yellow
46,34235,"Huntsville,",70,4.8,Days Inn and Suites Huntsville,http://www.trivago.com/huntsville-34235/hotel,//imgec.trivago.com/itemimages/59/45/59450_v1_isq.jpeg,"City - Alabama, USA (64 Hotels)",34.743786,-86.68486,yellow
46,34263,"Phoenix,",57,5.3,Crossland Economy Studios Phoenix,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/69/40/69407_v2_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.465225,-112.165016,yellow
46,34263,"Phoenix,",60,2.5,Motel 6 Phoenix Airport - 24th Street,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/37/58/375881_v3_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.44535,-112.030846,yellow
46,34263,"Phoenix,",60,6.2,Motel 6 Phoenix East,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/91/42/914255_v3_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.4505,-111.96704,yellow
46,34263,"Phoenix,",60,2.5,Motel 6 Phoenix Airport - 24th Street,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/37/58/375881_v3_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.44535,-112.030846,yellow
46,34263,"Phoenix,",57,5.3,Crossland Economy Studios Phoenix,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/69/40/69407_v2_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.465225,-112.165016,yellow
46,34263,"Phoenix,",60,6.2,Motel 6 Phoenix East,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/91/42/914255_v3_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.4505,-111.96704,yellow
46,34263,"Phoenix,",55,8.3,Homestead Studio Suites Phoenix - North Metro,http://www.trivago.com/phoenix-34263/hotel,//imgec.trivago.com/itemimages/19/92/199246_v2_isq.jpeg,"City - Arizona, USA (280 Hotels)",33.568275,-112.104324,yellow
46,34273,"Conway,",65,1.3,Motel 6 Conway,http://www.trivago.com/conway-34273/hotel,//imgec.trivago.com/itemimages/56/51/565186_v1_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.110302,-92.439285,yellow
46,34273,"Conway,",65,1.3,Motel 6 Conway,http://www.trivago.com/conway-34273/hotel,//imgec.trivago.com/itemimages/56/51/565186_v1_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.110302,-92.439285,yellow
46,34276,"Fort Smith,",70,3.5,Motel 6 Ft Smith,http://www.trivago.com/fort-smith-34276/hotel,//imgec.trivago.com/itemimages/37/70/377041_v1_isq.jpeg,"City - Arkansas, USA (31 Hotels)",35.36117,-94.36609,yellow
46,34276,"Fort Smith,",70,3.5,Motel 6 Ft Smith,http://www.trivago.com/fort-smith-34276/hotel,//imgec.trivago.com/itemimages/37/70/377041_v1_isq.jpeg,"City - Arkansas, USA (31 Hotels)",35.36117,-94.36609,yellow
46,34278,"Jonesboro,",67,0.4,Motel 6 Jonesboro,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/37/60/376011_v2_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.81713,-90.67703,yellow
46,34278,"Jonesboro,",67,0.4,Motel 6 Jonesboro,http://www.trivago.com/jonesboro-34278/hotel,//imgec.trivago.com/itemimages/37/60/376011_v2_isq.jpeg,"City - Arkansas, USA (25 Hotels)",35.81713,-90.67703,yellow
