thing,avgListPrice,medianPrice,popularity,state,statecode,county,maptype,date,avgDate,medianDate,popularityDate
Clark,295031,215000,1,Nevada,NV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Saint Tammany,294847,,4,Louisiana,LA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Throckmorton,294666,,237,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Jefferson,294308,230701,4,West Virginia,WV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Ramsey,294260,204515,9,Minnesota,MN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Harford,294045,249900,8,Maryland,MD,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Bexar,293885,,23,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Union,293653,255000,47,Ohio,OH,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Rutherford,293468,183000,7,Tennessee,TN,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Hart,293382,131950,81,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Towns,293036,178000,66,Georgia,GA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Lee,293024,,89,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Manassas,292938,284750,,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Warren,292915,170000,28,New York,NY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Albany,292897,,3,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Frederick,292720,235000,16,Virginia,VA,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Chambers,291993,,103,Texas,TX,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Crook,291945,,16,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
New London,290306,207000,4,Connecticut,CT,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Gila,289451,149900,10,Arizona,AZ,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Sublette,289348,,10,Wyoming,WY,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
Storey,289297,,7,Nevada,NV,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
York,289198,180000,9,South Carolina,SC,,county,2017-01-18,Jan 18,Oct '16 - Jan '17,Jan 18
