lat,lng,name,city,st,url,hotelid,filename,filename
33.451581,-112.079325,Americas Best Value Inn Downtown Phoenix,Phoenix,AZ,//www.allstays.com/hotels/12405.htm,12405,americas-best-value-inn.csv,Americas Best Value Inn
33.465584,-112.172812,Americas Best Value Inn Phoenix I 10 West,Phoenix,AZ,//www.allstays.com/hotels/12406.htm,12406,americas-best-value-inn.csv,Americas Best Value Inn
34.584166,-112.319277,Americas Best Value Inn,Prescott Valley,AZ,//www.allstays.com/hotels/12578.htm,12578,americas-best-value-inn.csv,Americas Best Value Inn
34.255984,-110.022241,Americas Best Value Inn,Show Low,AZ,//www.allstays.com/hotels/12723.htm,12723,americas-best-value-inn.csv,Americas Best Value Inn
34.133689,-109.285825,Americas Best Value Inn Springerville,Springerville,AZ,//www.allstays.com/hotels/12754.htm,12754,americas-best-value-inn.csv,Americas Best Value Inn
32.182195,-110.957057,Americas Best Value Inn Tucson,Tucson,AZ,//www.allstays.com/hotels/12827.htm,12827,americas-best-value-inn.csv,Americas Best Value Inn
34.575598,-117.410185,Americas Best Value Inn - Adelanto/Victorville,Adelanto,CA,//www.allstays.com/hotels/52108.htm,52108,americas-best-value-inn.csv,Americas Best Value Inn
33.817848,-117.913656,Americas Best Value Astoria Inn Suites,Anaheim,CA,//www.allstays.com/hotels/13047.htm,13047,americas-best-value-inn.csv,Americas Best Value Inn
33.803543,-117.913225,Americas Best Value Inn & Suites-Convention Center,Anaheim,CA,//www.allstays.com/hotels/53040.htm,53040,americas-best-value-inn.csv,Americas Best Value Inn
33.83512,-117.993331,Americas Best Value Inn Anaheim,Anaheim,CA,//www.allstays.com/hotels/13048.htm,13048,americas-best-value-inn.csv,Americas Best Value Inn
35.48341,-120.665138,Americas Best Value Inn - Atascadero / Paso Robles,Atascadero,CA,//www.allstays.com/hotels/13167.htm,13167,americas-best-value-inn.csv,Americas Best Value Inn
34.11518,-117.907775,Americas Best Value Inn Azusa Pasadena,Azusa,CA,//www.allstays.com/hotels/13194.htm,13194,americas-best-value-inn.csv,Americas Best Value Inn
35.35452,-118.912419,Americas Best Value Inn Suites East,Bakersfield,CA,//www.allstays.com/hotels/13198.htm,13198,americas-best-value-inn.csv,Americas Best Value Inn
33.927698,-116.973958,Americas Best Value Inn,Beaumont,CA,//www.allstays.com/hotels/13272.htm,13272,americas-best-value-inn.csv,Americas Best Value Inn
37.874712,-122.2941,Americas Best Value Inn Berkeley,Berkeley,CA,//www.allstays.com/hotels/13294.htm,13294,americas-best-value-inn.csv,Americas Best Value Inn
37.360286,-118.393214,Americas Best Value Inn Bishop,Bishop,CA,//www.allstays.com/hotels/13352.htm,13352,americas-best-value-inn.csv,Americas Best Value Inn
33.999557,-117.061153,Americas Best Value Inn,Calimesa,CA,//www.allstays.com/hotels/13462.htm,13462,americas-best-value-inn.csv,Americas Best Value Inn
39.725563,-121.837257,Americas Best Value Inn Suites,Chico,CA,//www.allstays.com/hotels/13657.htm,13657,americas-best-value-inn.csv,Americas Best Value Inn
38.966051,-122.653162,Americas Best Value Inn Suites Clearlake Wine Country,Clearlake,CA,//www.allstays.com/hotels/13697.htm,13697,americas-best-value-inn.csv,Americas Best Value Inn
36.811965,-119.700349,Americas Best Value Inn Suites Clovis Fresno,Clovis,CA,//www.allstays.com/hotels/13706.htm,13706,americas-best-value-inn.csv,Americas Best Value Inn
37.970718,-122.011191,Americas Best Value Inn,Concord,CA,//www.allstays.com/hotels/13734.htm,13734,americas-best-value-inn.csv,Americas Best Value Inn
33.878229,-117.565014,Americas Best Value Inn Corona,Corona,CA,//www.allstays.com/hotels/13749.htm,13749,americas-best-value-inn.csv,Americas Best Value Inn
37.922316,-122.513218,Americas Best Value Inn,Corte Madera,CA,//www.allstays.com/hotels/13767.htm,13767,americas-best-value-inn.csv,Americas Best Value Inn
41.761173,-124.19792,Americas Best Value Inn Crescent City,Crescent City,CA,//www.allstays.com/hotels/13793.htm,13793,americas-best-value-inn.csv,Americas Best Value Inn
35.770458,-119.245277,Americas Best Value Inn,Delano,CA,//www.allstays.com/hotels/13855.htm,13855,americas-best-value-inn.csv,Americas Best Value Inn
38.882649,-121.97097,Americas Best Value Inn Dunnigan,Dunnigan,CA,//www.allstays.com/hotels/13889.htm,13889,americas-best-value-inn.csv,Americas Best Value Inn
32.80222,-116.936437,Americas Best Value Inn El Cajon San Diego,El Cajon,CA,//www.allstays.com/hotels/13898.htm,13898,americas-best-value-inn.csv,Americas Best Value Inn
34.062753,-118.017979,Americas Best Value Inn El Monte,El Monte,CA,//www.allstays.com/hotels/13924.htm,13924,americas-best-value-inn.csv,Americas Best Value Inn
