"name" "lastname" "firstname" "articleNum" "birthDate" "birthMonth" "birthDay" "zodiac"
"221" "Barak, Ehud" "Barak" "Ehud" 45 1942-02-12 2 12 "Aquarius"
"222" "Baraka, Amiri" "Baraka" "Amiri" 8 1934-10-07 10 7 "Libra"
"223" "Baranski, Christine" "Baranski" "Christine" 6 1952-05-02 5 2 "Taurus"
"224" "Barber, Samuel" "Barber" "Samuel" 12 1910-03-09 3 9 "Pisces"
"225" "Barber, Tiki" "Barber" "Tiki" 69 1975-04-07 4 7 "Aries"
"226" "Barbour, Haley" "Barbour" "Haley" 19 1947-10-22 10 22 "Libra"
"227" "Bardem, Javier" "Bardem" "Javier" 15 1969-03-01 3 1 "Pisces"
"228" "Bardot, Brigitte" "Bardot" "Brigitte" 5 1934-09-28 9 28 "Libra"
"229" "Barenboim, Daniel" "Barenboim" "Daniel" 38 1942-11-15 11 15 "Scorpio"
"230" "Barghouti, Marwan" "Barghouti" "Marwan" 10 1959-06-06 6 6 "Gemini"
"231" "Barkley, Charles" "Barkley" "Charles" 10 1963-02-20 2 20 "Pisces"
"232" "Barkley, Erick" "Barkley" "Erick" 1 1978-02-21 2 21 "Pisces"
"233" "Barksdale, James L" "Barksdale" "James L" 0 1943-01-24 1 24 "Aquarius"
"234" "Barnes, Albert C" "Barnes" "Albert C" 5 1872-01-02 1 2 "Capricorn"
"235" "Barnes, Julian" "Barnes" "Julian" 6 1946-01-19 1 19 "Capricorn"
"236" "Barnes, Roy E" "Barnes" "Roy E" 1 1948-03-11 3 11 "Pisces"
"237" "Barnett, Gary" "Barnett" "Gary" 7 1946-05-23 5 23 "Gemini"
"238" "Barney, Matthew" "Barney" "Matthew" 11 1967-03-25 3 25 "Aries"
"239" "Barnicle, Mike" "Barnicle" "Mike" 0 1943-10-13 10 13 "Libra"
"240" "Barr, Bob" "Barr" "Bob" 2 1948-11-05 11 5 "Scorpio"
"241" "Barrionuevo, Alexei" "Barrionuevo" "Alexei" 0 NA NA NA NA
"242" "Barron, Charles" "Barron" "Charles" 16 1951-01-01 1 1 "Capricorn"
"243" "Barry, Dave" "Barry" "Dave" 9 1947-07-03 7 3 "Cancer"
"244" "Barry, Marion S Jr" "Barry" "Marion S Jr" 5 1936-03-06 3 6 "Pisces"
"245" "Barrymore, Drew" "Barrymore" "Drew" 13 1974-02-22 2 22 "Pisces"
"246" "Barshefsky, Charlene" "Barshefsky" "Charlene" 2 1950-08-11 8 11 "Leo"
"247" "Barstow, David" "Barstow" "David" 3 1963-01-21 1 21 "Aquarius"
"248" "Bart, Peter" "Bart" "Peter" 3 1932-07-24 7 24 "Leo"
"249" "Barth, John" "Barth" "John" 2 1930-05-27 5 27 "Gemini"
"250" "Barthelme, Frederick" "Barthelme" "Frederick" 3 1943-10-10 10 10 "Libra"
"251" "Bartlett, Bruce" "Bartlett" "Bruce" 7 1951-10-11 10 11 "Libra"
"252" "Bartok, Bela" "Bartok" "Bela" 1 1881-03-25 3 25 "Aries"
"253" "Bartoli, Cecilia" "Bartoli" "Cecilia" 6 1966-06-04 6 4 "Gemini"
"254" "Baryshnikov, Mikhail" "Baryshnikov" "Mikhail" 24 1948-01-27 1 27 "Aquarius"
"255" "Barzani, Massoud" "Barzani" "Massoud" 8 1946-08-16 8 16 "Leo"
"256" "Basayev, Shamil" "Basayev" "Shamil" 12 1965-01-14 1 14 "Capricorn"
"257" "Bashir, Abu Bakar" "Bashir" "Abu Bakar" 7 1938-01-01 1 1 "Capricorn"
"258" "Bashir, Omar Hassan Al-" "Bashir" "Omar Hassan Al-" 84 1944-01-01 1 1 "Capricorn"
"259" "Basinger, Kim" "Basinger" "Kim" 8 1953-12-08 12 8 "Sagittarius"
"260" "Bastianich, Joseph" "Bastianich" "Joseph" 8 1968-09-17 9 17 "Virgo"
"261" "Batali, Mario" "Batali" "Mario" 21 1960-09-19 9 19 "Virgo"
"262" "Bates, John D" "Bates" "John D" 10 1946-10-11 10 11 "Libra"
"263" "Bates, Kathy" "Bates" "Kathy" 6 1948-06-28 6 28 "Cancer"
"264" "Battle, Kathleen" "Battle" "Kathleen" 3 1948-08-13 8 13 "Leo"
"265" "Batts, Deborah A" "Batts" "Deborah A" 4 1947-04-13 4 13 "Aries"
"266" "Baucus, Max" "Baucus" "Max" 70 1941-12-11 12 11 "Sagittarius"
"267" "Bauer, Gary L" "Bauer" "Gary L" 1 1946-05-04 5 4 "Taurus"
"268" "Bausch, Pina" "Bausch" "Pina" 14 1940-07-27 7 27 "Leo"
"269" "Bay, Michael" "Bay" "Michael" 11 1965-02-17 2 17 "Aquarius"
"270" "Bayh, Evan" "Bayh" "Evan" 19 1955-12-26 12 26 "Capricorn"
"271" "Bayley, John" "Bayley" "John" 1 NA NA NA NA
"272" "Baylor, Don" "Baylor" "Don" 0 1949-06-28 6 28 "Cancer"
"273" "Baz, Rashid" "Baz" "Rashid" 0 NA NA NA NA
