avgListPrice,medianPrice,popularity,statecode,city,state,latitude,longitude
205935,,55,TX,San Patricio,Texas,27.9544619,-97.7719419
205820,,101,TX,Martin,Texas,32.2364722,-101.9804613
205782,,32,ID,Jerome,Idaho,42.7240732,-114.5186534
205569,,6,KY,Bullitt,Kentucky,37.9842107,-85.684578
205491,104900,13,AL,Marshall,Alabama,34.3652297,-86.3376761
205395,107000,103,VA,Brunswick,Virginia,36.7570589,-77.8367282
205097,,220,TX,Potter,Texas,35.404373,-101.9804613
205093,,44,TX,Matagorda,Texas,28.691133,-95.9682714
205020,134950,84,GA,Oglethorpe,Georgia,32.293769,-84.0610191
204702,180000,8,CT,Windham,Connecticut,41.6998208,-72.1570219
204700,,32,SD,Marshall,South Dakota,45.7271214,-97.6046235
204595,76500,38,AL,Randolph,Alabama,33.2681523,-85.520024
204527,,27,MS,Pontotoc,Mississippi,34.2478831,-88.998673
204449,,30,NC,Franklin,North Carolina,35.1823171,-83.3815429
204401,,38,FL,DeSoto,Florida,27.2142078,-81.7787021
204353,145000,21,AR,Cleburne,Arkansas,35.4605769,-92.0665197
204212,132000,142,GA,Marion,Georgia,32.328102,-84.5222189
204190,150000,4,PA,Allegheny,Pennsylvania,40.4450813,-80.0087746
204188,,15,NE,Scotts Bluff,Nebraska,41.8666341,-103.6671662
204170,,8,MO,Taney,Missouri,36.6576378,-93.0175712
204116,136750,10,SC,Lexington,South Carolina,33.9815369,-81.2362107
203945,,56,VA,Page,Virginia,38.6301331,-78.52065
203863,173450,56,FL,Baker,Florida,30.7971318,-86.681344
203741,,32,WA,Whitman,Washington,46.8363403,-117.5887295
203730,,45,VA,Prince Edward,Virginia,37.1982888,-78.4297187
203712,166750,57,MN,Blue Earth,Minnesota,43.6375818,-94.1023906
203624,165000,50,GA,Effingham,Georgia,32.378148,-81.3839326
203610,145000,6,NV,Churchill,Nevada,39.6626678,-118.4863963
203577,,5,SD,Brookings,South Dakota,44.3113573,-96.7983877
203561,,83,TX,Navarro,Texas,31.99849,-96.3783131
203506,,108,TX,Gregg,Texas,32.4892547,-94.8520636
203400,,55,MS,Amite,Mississippi,31.1683803,-90.8294002
203366,,31,ND,Renville,North Dakota,48.8582263,-101.6334298
203251,176675,2,WV,Berkeley,West Virginia,39.4885604,-78.0651931
203214,,57,IN,Dubois,Indiana,38.357918,-86.8220341
203205,,17,NE,Madison,Nebraska,41.8279842,-97.4549636
203191,,62,NE,Antelope,Nebraska,42.1902446,-98.0465185
203174,,25,NE,Hamilton,Nebraska,40.919722,-98.0465185
203105,115000,51,IL,Effingham,Illinois,39.1200418,-88.5433829
203096,,12,MO,Franklin,Missouri,39.0116954,-92.7532411
203055,,201,TX,Garza,Texas,33.1955897,-101.2523792
202961,,40,ID,Gooding,Idaho,42.9387917,-114.7131081
202888,,20,ND,Walsh,North Dakota,48.3777874,-97.7528872
