year,sex,rank,name,size,perc,total_size,total_perc
1981,M,17,Aaron,476,1.3,11908,33.3
1994,M,16,David,475,1.2,9236,23.3
1993,M,17,Cody,475,1.2,10018,24.9
1990,F,5,Brittany,475,1.2,3494,9.0
1988,M,16,Joseph,475,1.3,10582,28.5
2010,F,1,Sophia,474,1.1,474,1.1
2012,F,1,Sophia,473,1.1,473,1.1
1982,M,17,Nicholas,473,1.3,11719,33.0
2001,M,3,Ethan,470,1.2,1592,3.9
1997,M,10,Nicholas,470,1.2,5516,13.8
1995,M,14,Ryan,470,1.2,7958,20.3
1986,M,17,John,470,1.3,11061,31.1
1992,M,17,James,469,1.1,10600,25.7
1990,M,18,Anthony,469,1.2,11943,29.4
1998,M,7,Tyler,468,1.1,3929,9.6
1995,M,15,Kyle,468,1.2,8426,21.5
1991,F,6,Emily,468,1.2,3942,10.1
2006,M,2,Alexander,467,1.0,959,2.2
1999,M,5,Matthew,467,1.1,2711,6.6
1981,M,18,Brandon,466,1.3,12374,34.6
1985,M,16,Justin,465,1.3,10943,30.5
2007,M,3,Alexander,464,1.0,1456,3.2
2006,M,3,Ethan,464,1.0,1423,3.2
1996,F,2,Sarah,464,1.2,1000,2.6
1990,F,6,Samantha,464,1.2,3958,10.2
1989,M,16,Robert,464,1.2,10618,27.5
1983,F,5,Ashley,464,1.4,3565,10.7
2008,M,1,Ethan,463,1.0,463,1.0
1992,M,18,Cody,463,1.1,11063,26.9
1988,M,17,Robert,463,1.2,11045,29.7
2013,M,1,Liam,462,1.0,462,1.0
1999,M,6,Alexander,462,1.1,3173,7.8
2004,F,2,Emily,461,1.2,947,2.4
1999,M,7,Austin,461,1.1,3634,8.9
1995,F,3,Ashley,461,1.2,1513,4.0
2004,M,3,Andrew,460,1.1,1476,3.5
1991,F,7,Kayla,460,1.2,4402,11.3
1998,M,8,Daniel,459,1.1,4388,10.7
1994,F,5,Samantha,459,1.2,2695,7.1
2001,F,2,Madison,458,1.2,972,2.5
1993,M,18,Joseph,458,1.1,10476,26.0
1987,M,15,Tyler,458,1.3,10116,28.0
1998,M,9,Ryan,457,1.1,4845,11.9
1997,F,2,Hannah,457,1.2,1106,2.9
1984,F,6,Stephanie,457,1.4,3911,11.7
2012,F,2,Emma,456,1.1,929,2.2
1989,F,6,Samantha,456,1.2,4091,11.1
2009,F,1,Isabella,455,1.0,455,1.0
1999,M,8,Tyler,455,1.1,4089,10.0
1987,M,16,Joseph,454,1.3,10570,29.2
1983,F,6,Nicole,454,1.4,4019,12.1
2011,F,1,Sophia,453,1.1,453,1.1
2008,M,2,Jacob,453,1.0,916,2.0
1996,F,3,Jessica,453,1.2,1453,3.8
1980,F,6,Heather,453,1.4,3935,11.9
1998,F,3,Madison,451,1.2,1527,3.9
1991,M,19,Justin,450,1.1,11982,29.3
2013,F,1,Emma,449,1.1,449,1.1
1991,M,20,Cody,449,1.1,12431,30.4
2009,M,1,Alexander,448,1.0,448,1.0
2005,M,2,Ethan,448,1.1,935,2.2
1993,F,6,Amanda,448,1.2,3299,8.6
1983,M,19,Kyle,448,1.3,12897,36.5
1996,M,11,Christopher,447,1.1,6178,15.4
1989,M,17,Zachary,447,1.2,11065,28.7
1987,M,17,Jacob,447,1.2,11017,30.5
1985,F,7,Stephanie,447,1.3,4659,13.6
2011,M,1,Mason,446,1.0,446,1.0
2000,M,7,Matthew,445,1.1,3574,8.6
1995,M,16,Joseph,445,1.1,8871,22.6
1986,M,18,Tyler,445,1.3,11506,32.4
1992,M,19,Jordan,443,1.1,11506,27.9
1990,M,19,Brandon,443,1.1,12386,30.5
1988,F,6,Stephanie,443,1.3,4153,11.7
1986,M,19,Brian,443,1.2,11949,33.6
1983,F,7,Stephanie,443,1.3,4462,13.4
2008,M,3,Alexander,442,1.0,1358,2.9
2001,M,4,Michael,442,1.1,2034,5.0
1997,M,11,Brandon,442,1.1,5958,14.9
1994,M,17,Joseph,442,1.1,9678,24.5
1991,M,21,Anthony,442,1.1,12873,31.5
1990,M,20,Alexander,442,1.1,12828,31.5
1982,F,6,Nicole,442,1.3,4048,11.9
1981,M,19,Adam,442,1.2,12816,35.8
2000,F,3,Madison,441,1.1,1509,3.8
1997,F,3,Jessica,441,1.2,1547,4.1
1996,M,12,Alexander,441,1.1,6619,16.5
1983,F,8,Melissa,441,1.3,4903,14.7
