origin,dest,name,lat,lng,IndirectPrice,DirectPrice,anyPrice,kmDist,dollarPerKm
"SFOA","TYSA","Knoxville","35.96064","-83.92074","435","","435","2116.57","0.21",
"SFOA","VLDA","Valdosta","30.808611","-83.280277","1024","","1024","2268.18","0.45",
"SFOA","VPSA","Valparaiso","30.486388","-86.513611","","","","2100.53","",
"SFOA","FYVA","Fayetteville","36.140833","-94.153333","","489","489","1558.63","0.31",
"SFOA","YKMA","Yakima","46.583472","-120.527222","","","","615.89","",
"SFOA","YUMA","Yuma","32.685417","-114.611805","296","","296","563.53","0.53",
"SFOA","OGSA","","","","","","","","",
"SFOA","CDVA","Cordova","60.521528","-145.61","","","","1867.00","",
"SFOA","ACVA","Arcata","40.866389","-124.082778","396","421","421","231.06","1.82",
"SFOA","BFLA","Bakersfield","35.43","-119.052222","","","","247.39","",
"SFOA","MRYA","Carmel","36.55524","-121.92329","287","558","558","88.87","6.28",
"SFOA","RDDA","Redding","40.576667","-122.370278","","246","246","193.29","1.27",
"SFOA","RNOA","Reno","39.497778","-119.7675","","","","185.93","",
"SFOA","SACA","Sacramento","38.555556","-121.468889","","153","153","74.44","2.06",
"SFOA","AIYA","Atlantic City","39.381111","-74.496851","631","","631","2559.91","0.25",
"SFOA","ADQA","Kodiak","57.781574","-152.417777","721","","721","1932.15","0.37",
"SFOA","DECA","","","","784","","784","","",
"SFOA","EWBA","Fall River","41.698056","-71.146944","1130","","1130","2697.16","0.42",
"SFOA","ENAA","","","","564","","564","","",
"SFOA","OAKA","Oakland","37.770139","-122.241111","222","","222","9.75","22.77",
"SFOA","IAGA","Niagara Falls","43.1","-78.95","","","","2289.06","",
"SFOA","LBEA","","","","692","","692","","",
"SFOA","IPLA","Imperial","32.837222","-115.574722","506","","506","514.99","0.98",
"SFOA","MUEA","","","","654","","654","","",
"SFOA","HNMA","Hana","20.762214","-155.986977","657","","657","2321.09","0.28",
"SFOA","MCWA","Mason City","43.148611","-93.201944","","","","1571.31","",
"SFOA","SJCA","San Jose","37.347222","-121.904444","159","","159","41.06","3.87",
"SFOA","OWBA","Owensboro","37.740833","-87.165833","440","","440","1913.94","0.23",
"SFOA","CLWA","Clearwater","27.96585","-82.8001","","","","2377.36","",
"SFOA","SMXA","Santa Maria","34.905","-120.457778","597","","597","226.59","2.63",
"SFOA","STSA","Santa Rosa","38.448611","-122.704722","354","","354","48.78","7.26",
"SFOA","USAA","","","","619","","619","","",
"SFOA","PSMA","","","","889","","889","","",
"SFOA","PQIA","Presque Isle","46.685","-68.0475","742","","742","2790.94","0.27",
"SFOA","YAMA","Sault Ste Marie","46.533333","-84.35","","","","2019.37","",
"SFOA","YBCA","","","","","","","","",
"SFOA","YBGA","","","","","","","","",
