airline,country,status
Air Plus Argentina,Argentina,Inactive
Air Plus Comet,Spain,Inactive
Air Poitou Charentes,France,Inactive
Air Poland,Poland,Inactive
Air Polonia,Poland,Inactive
Air Provence,France,Inactive
Air Queensland,Australia,Inactive
Air Rarotonga,Cook Islands,Active
Air Rose,Turkey,Inactive
Air Rum,Sierra Leone,Inactive
Air Sahara,India,Inactive
Air Saint Martin,France,Inactive
Air Sal,Italy,Inactive
Air Scandic International,United Kingdom,Inactive
Air Scotland,United Kingdom,Inactive
Air Senegal International,Senegal,Inactive
Air Panama International,Panama,Inactive
Air Paradise International,Indonesia,Inactive
Air Peace,Nigeria,Inactive
Air Philippines,Philippines,Inactive
Air Plus Argentina,Argentina,Inactive
Air Plus Comet,Spain,Inactive
Air Poitou Charentes,France,Inactive
Air Poland,Poland,Inactive
Air Polonia,Poland,Inactive
Air Provence,France,Inactive
Air Queensland,Australia,Inactive
Air Rarotonga,Cook Islands,Active
Air Rose,Turkey,Inactive
Air Rum,Sierra Leone,Inactive
Air Sahara,India,Inactive
Air Saint Martin,France,Inactive
Air Sal,Italy,Inactive
Air Scandic International,United Kingdom,Inactive
Air Scotland,United Kingdom,Inactive
Air Senegal International,Senegal,Inactive
Air Serbia,Serbia,Active
Air Service,Gabon,Inactive
Air Service Gabon,Gabon,Inactive
Air Service Nantes,France,Inactive
Air Seychelles,Seychelles,Active
Air Siam,Thailand,Inactive
Air Sicilia,Italy,Inactive
Air Sinai,Egypt,Inactive
Air Slovakia,Slovakia,Inactive
Air South,USA,Inactive
Air South Regional,Australia,Active
Air Southwest,United Kingdom,Inactive
Air Srpska,Bosnia-Hercegovina,Inactive
Air St. Pierre,France,Active
Air Sul,Portugal,Inactive
Air Sur,Spain,Inactive
Air Sweden,Sweden,Inactive
Air Sylhet,United Kingdom,Inactive
Air Tahiti,France,Active
Air Tahiti Nui,France,Active
Air Serbia,Serbia,Active
Air Service,Gabon,Inactive
Air Service Gabon,Gabon,Inactive
Air Service Nantes,France,Inactive
Air Seychelles,Seychelles,Active
Air Siam,Thailand,Inactive
Air Sicilia,Italy,Inactive
Air Sinai,Egypt,Inactive
Air Slovakia,Slovakia,Inactive
Air South,USA,Inactive
Air South Regional,Australia,Active
Air Southwest,United Kingdom,Inactive
Air Srpska,Bosnia-Hercegovina,Inactive
Air St. Pierre,France,Active
Air Sul,Portugal,Inactive
Air Sur,Spain,Inactive
Air Sweden,Sweden,Inactive
Air Sylhet,United Kingdom,Inactive
Air Tahiti,France,Active
Air Tahiti Nui,France,Active
